City_ID,City,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Country,Date
83,severo-kurilsk,50.6789,156.125,-3.85,75,84,6.4,RU,1673118617
84,mattru,7.6244,-11.8332,26.71,61,1,3.24,SL,1673118618
85,ponta do sol,32.6667,-17.1,19.45,80,80,2.93,PT,1673118619
86,safford,32.834,-109.7076,16.51,29,0,4.12,US,1673118620
87,iqaluit,63.7506,-68.5145,-23.49,93,100,3.59,CA,1673118467
88,kruisfontein,-34.0033,24.7314,19.94,83,32,3.84,ZA,1673118621
89,puerto carreno,6.189,-67.4859,30.01,59,100,3.44,CO,1673118621
90,wasilla,61.5814,-149.4394,-8.69,82,0,1.54,US,1673118623
91,maputo,-25.9653,32.5892,21.82,64,20,5.14,MZ,1673118623
92,makakilo city,21.3469,-158.0858,24.69,72,0,1.54,US,1673118624
93,san lorenzo,-25.3333,-57.5333,32.52,33,75,3.09,PY,1673118625
94,anapolis,-16.3267,-48.9528,27.26,88,85,3.74,BR,1673118437
95,belogorsk,50.9158,128.4611,-27.11,99,100,0.33,RU,1673118628
96,athabasca,54.7169,-113.2854,-3.08,83,13,2.32,CA,1673118359
97,vao,-22.6667,167.4833,25.47,88,100,3.01,NC,1673118443
98,yangjiang,21.85,111.9667,17.6,67,100,1.68,CN,1673118630
99,berlevag,70.8578,29.0864,-11.0,80,38,7.44,NO,1673118631
100,micheweni,-4.9667,39.8333,27.35,81,36,5.5,TZ,1673118631
101,sao raimundo das mangabeiras,-7.0219,-45.4811,28.41,64,100,1.47,BR,1673118632
102,ribeira grande,38.5167,-28.7,17.22,94,75,9.26,PT,1673118633
103,yerbogachen,61.2767,108.0108,-17.81,96,100,3.5,RU,1673118633
104,butaritari,3.0707,172.7902,26.95,78,29,6.05,KI,1673118386
105,qaqortoq,60.7167,-46.0333,-8.81,75,99,3.45,GL,1673118634
106,zhovtneve,50.6637,24.2492,-0.99,95,88,2.88,UA,1673118634
107,barrow,71.2906,-156.7887,-23.99,77,0,6.17,US,1673118485
108,selma,36.5708,-119.6121,13.43,82,0,2.06,US,1673118554
109,atuona,-9.8,-139.0333,25.42,78,38,7.23,PF,1673118636
110,sorland,67.667,12.6934,0.92,64,94,11.71,NO,1673118636
111,tanabe,33.7333,135.3667,8.44,67,28,7.81,JP,1673118637
112,koslan,63.4564,48.8989,-33.74,99,10,1.99,RU,1673118637
113,zhigansk,66.7697,123.3711,-32.0,98,100,2.14,RU,1673118638
114,avarua,-21.2078,-159.775,24.03,88,100,1.03,CK,1673118638
115,salalah,17.0151,54.0924,24.05,69,40,2.06,OM,1673118639
116,grand gaube,-20.0064,57.6608,26.32,71,5,2.24,MU,1673118639
117,yulara,-25.2406,130.9889,17.42,87,100,7.31,AU,1673118428
118,lavrentiya,65.5833,-171.0,-20.47,98,77,2.27,RU,1673118641
119,richards bay,-28.783,32.0377,18.5,79,27,2.79,ZA,1673118641
120,vanimo,-2.6741,141.3028,24.87,90,100,1.77,PG,1673118642
121,kiunga,-6.1219,141.2906,23.63,91,100,0.32,PG,1673118642
122,mar del plata,-38.0023,-57.5575,31.02,85,2,12.96,AR,1673118543
123,sabang,5.8933,95.3214,27.0,70,88,2.77,ID,1673118643
124,banda aceh,5.5577,95.3222,24.94,83,100,2.16,ID,1673118643
125,lakes entrance,-37.8811,147.981,9.53,91,9,2.76,AU,1673118644
126,port alfred,-33.5906,26.891,18.43,89,67,3.65,ZA,1673118644
127,guanica,17.9716,-66.908,28.4,82,37,1.52,PR,1673118645
128,flin flon,54.7682,-101.865,-7.56,90,92,2.87,CA,1673118645
129,jonesboro,35.8423,-90.7043,8.83,100,100,4.12,US,1673118646
